536.0,245.0,4.0,3.0,144,-1
217.0,220.0,-13.0,-4.0,208,-1
567.0,358.0,-8.0,-3.0,304,-1
122.0,469.0,-9.0,2.0,400,1
295.0,199.0,-6.0,-0.0,112,-1
391.0,248.0,-5.0,4.0,144,-1
262.0,114.0,-5.0,-3.0,88,-1
156.0,129.0,-7.0,1.0,48,-1
340.0,12.0,7.0,1.0,-8,-1
422.0,322.0,-9.0,-4.0,264,-1
47.0,439.0,9.0,-1.0,352,-1
133.0,210.0,5.0,3.0,160,1
113.0,372.0,-6.0,0.0,304,-1
522.0,487.0,-8.0,-1.0,408,1
588.0,378.0,11.0,2.0,304,1
527.0,133.0,-6.0,3.0,88,1
578.0,12.0,-12.0,2.0,-8,-1
558.0,266.0,4.0,3.0,192,1
136.0,197.0,-13.0,-4.0,160,-1
517.0,338.0,-8.0,-3.0,352,1
70.0,482.0,-9.0,2.0,408,1
259.0,198.0,-6.0,-0.0,160,1
363.0,270.0,-5.0,4.0,192,1
230.0,96.0,-5.0,-3.0,40,-1
114.0,132.0,-7.0,1.0,96,1
382.0,12.0,7.0,1.0,-8,-1
368.0,296.0,-9.0,-4.0,296,1
100.0,431.0,9.0,-1.0,400,1
164.0,229.0,5.0,3.0,208,1
77.0,372.0,-6.0,0.0,352,1
467.0,482.0,-8.0,-1.0,408,1
652.0,393.0,11.0,2.0,352,1
490.0,152.0,-6.0,3.0,56,-1
507.0,12.0,-12.0,2.0,-8,-1
579.0,287.0,4.0,3.0,240,1
55.0,174.0,-13.0,-4.0,112,-1
466.0,319.0,-8.0,-3.0,304,-1
35.0,488.0,9.0,-5.0,408,1
223.0,197.0,-6.0,-0.0,112,-1
335.0,293.0,-5.0,4.0,240,1
199.0,78.0,-5.0,-3.0,88,1
72.0,136.0,-7.0,1.0,48,-1
424.0,12.0,7.0,1.0,-8,-1
314.0,270.0,-9.0,-4.0,264,-1
154.0,424.0,9.0,-1.0,352,-1
195.0,248.0,5.0,3.0,160,-1
41.0,372.0,-6.0,0.0,304,-1
419.0,477.0,-8.0,-1.0,408,1
717.0,408.0,11.0,2.0,304,-1
452.0,171.0,-6.0,3.0,88,1
437.0,12.0,-12.0,2.0,-8,-1
594.0,301.0,4.0,3.0,208,-1
82.0,193.0,13.0,7.0,160,1
416.0,300.0,-8.0,-3.0,256,-1
87.0,458.0,9.0,-5.0,408,1
187.0,196.0,-6.0,-0.0,160,1
307.0,315.0,-5.0,4.0,288,1
168.0,60.0,-5.0,-3.0,40,-1
30.0,140.0,8.0,2.0,96,1
466.0,12.0,7.0,1.0,-8,-1
260.0,243.0,-9.0,-4.0,216,-1
207.0,416.0,9.0,-1.0,400,1
225.0,266.0,5.0,3.0,208,1
49.0,365.0,7.0,-2.0,344,1
371.0,472.0,-8.0,-1.0,408,1
759.0,426.0,-11.0,5.0,352,1
415.0,190.0,-6.0,3.0,136,1
366.0,12.0,-12.0,2.0,-8,-1
594.0,301.0,4.0,3.0,208,-1
163.0,232.0,13.0,7.0,112,-1
365.0,281.0,-8.0,-3.0,208,-1
139.0,428.0,9.0,-5.0,352,-1
151.0,194.0,-6.0,-0.0,112,-1
279.0,338.0,-5.0,4.0,240,-1
137.0,42.0,-5.0,-3.0,-8,-1
76.0,154.0,8.0,2.0,48,-1
507.0,12.0,7.0,1.0,-8,-1
206.0,217.0,-9.0,-4.0,168,-1
260.0,409.0,9.0,-1.0,352,-1
256.0,285.0,5.0,3.0,256,1
49.0,365.0,7.0,-2.0,344,1
323.0,467.0,-8.0,-1.0,408,1
694.0,455.0,-11.0,5.0,400,1
377.0,209.0,-6.0,3.0,184,1
296.0,12.0,-12.0,2.0,-8,-1
594.0,301.0,4.0,3.0,208,-1
244.0,272.0,13.0,7.0,160,1
315.0,261.0,-8.0,-3.0,256,1
191.0,398.0,9.0,-5.0,400,1
115.0,193.0,-6.0,-0.0,160,1
251.0,360.0,-5.0,4.0,288,1
106.0,24.0,-5.0,-3.0,48,1
122.0,167.0,8.0,2.0,96,1
549.0,12.0,7.0,1.0,-8,-1
152.0,191.0,-9.0,-4.0,120,-1
314.0,402.0,9.0,-1.0,400,1
287.0,303.0,5.0,3.0,208,-1
49.0,365.0,7.0,-2.0,344,1
284.0,463.0,-8.0,-1.0,408,1
628.0,484.0,-11.0,5.0,408,1
340.0,228.0,-6.0,3.0,152,-1
225.0,12.0,-12.0,2.0,-8,-1
612.0,318.0,4.0,3.0,248,1
325.0,311.0,13.0,7.0,208,1
265.0,242.0,-8.0,-3.0,208,-1
242.0,368.0,9.0,-5.0,352,-1
79.0,192.0,-6.0,-0.0,112,-1
223.0,383.0,-5.0,4.0,336,1
85.0,12.0,-5.0,3.0,16,-1
168.0,181.0,8.0,2.0,144,1
591.0,12.0,7.0,1.0,-8,-1
98.0,165.0,-9.0,-4.0,152,1
367.0,394.0,9.0,-1.0,352,-1
318.0,322.0,5.0,3.0,256,1
88.0,350.0,7.0,-2.0,296,-1
228.0,458.0,-8.0,-1.0,408,1
562.0,464.0,-11.0,-5.0,408,1
302.0,247.0,-6.0,3.0,184,1
154.0,12.0,-12.0,2.0,-8,-1
633.0,339.0,4.0,3.0,296,1
406.0,350.0,13.0,7.0,256,1
214.0,223.0,-8.0,-3.0,160,-1
294.0,338.0,9.0,-5.0,304,-1
43.0,191.0,-6.0,-0.0,160,1
194.0,405.0,-5.0,4.0,288,-1
85.0,12.0,-5.0,3.0,16,-1
214.0,194.0,8.0,2.0,96,-1
633.0,12.0,7.0,1.0,-8,-1
44.0,139.0,-9.0,-4.0,120,-1
421.0,387.0,9.0,-1.0,304,-1
349.0,340.0,5.0,3.0,304,1
128.0,336.0,7.0,-2.0,344,1
180.0,453.0,-8.0,-1.0,352,-1
496.0,434.0,-11.0,-5.0,408,1
265.0,266.0,-6.0,3.0,232,1
84.0,12.0,-12.0,2.0,-8,-1
655.0,360.0,4.0,3.0,248,-1
487.0,390.0,13.0,7.0,304,1
164.0,204.0,-8.0,-3.0,208,1
346.0,307.0,9.0,-5.0,256,-1
57.0,178.0,6.0,-3.0,112,-1
166.0,428.0,-5.0,4.0,336,1
85.0,12.0,-5.0,3.0,16,-1
260.0,208.0,8.0,2.0,144,1
674.0,12.0,7.0,1.0,-8,-1
408.0,387.0,4.0,3.0,72,-1
474.0,379.0,9.0,-1.0,352,1
380.0,359.0,5.0,3.0,256,-1
167.0,322.0,7.0,-2.0,296,-1
132.0,448.0,-8.0,-1.0,400,1
430.0,405.0,-11.0,-5.0,352,-1
228.0,285.0,-6.0,3.0,200,-1
36.0,12.0,11.0,7.0,-8,-1
676.0,381.0,4.0,3.0,296,1
568.0,429.0,13.0,7.0,352,1
113.0,184.0,-8.0,-3.0,160,-1
398.0,277.0,9.0,-5.0,304,1
95.0,161.0,6.0,-3.0,160,1
138.0,450.0,-5.0,4.0,384,1
49.0,33.0,-5.0,3.0,-8,-1
306.0,221.0,8.0,2.0,192,1
716.0,12.0,7.0,1.0,-8,-1
431.0,406.0,4.0,3.0,104,1
528.0,372.0,9.0,-1.0,304,-1
411.0,378.0,5.0,3.0,304,1
207.0,307.0,7.0,-2.0,248,-1
85.0,443.0,-8.0,-1.0,352,-1
365.0,376.0,-11.0,-5.0,400,1
190.0,304.0,-6.0,3.0,232,1
