architecture,lr,normalization,accuracy,loss,classification_accuracy
"20;16;12", 0.0005, min_max,0.9036511182785034, 0.250507116317749, 0.9036511156186613
"20;16;12", 0.0005, zero_one,0.9021298289299011, 0.26730552315711975, 0.902129817444219
"20;16;12", 0.0002, min_max,0.9021298289299011, 0.25760313868522644, 0.902129817444219
"20;16;12", 0.0002, zero_one,0.8950304388999939, 0.24860577285289764, 0.8950304259634888
"20;16;12", 0.0001, min_max,0.8924949169158936, 0.2711758613586426, 0.8924949290060852
"20;16;12", 0.0001, zero_one,0.8772819638252258, 0.2935110628604889, 0.8772819472616633
"20;20;12", 0.001, min_max,0.9011155962944031, 0.25204160809516907, 0.9011156186612576
"20;20;12", 0.001, zero_one,0.9016227126121521, 0.23803643882274628, 0.9016227180527383
"20;20;12", 0.0005, min_max,0.9026369452476501, 0.25498783588409424, 0.9026369168356998
"20;20;12", 0.0005, zero_one,0.9036511182785034, 0.23695239424705505, 0.9036511156186613
"20;20;12", 0.0002, min_max,0.9001014232635498, 0.2630612254142761, 0.9001014198782962
"20;20;12", 0.0002, zero_one,0.9026369452476501, 0.24681520462036133, 0.9026369168356998
"20;20;12", 0.0001, min_max,0.8919878005981445, 0.27503830194473267, 0.8919878296146044
"20;20;12", 0.0001, zero_one,0.8843813538551331, 0.2790726125240326, 0.8843813387423936
"16;16;16", 0.001, min_max,0.8980730175971985, 0.24885869026184082, 0.8980730223123732
"16;16;16", 0.001, zero_one,0.9056795239448547, 0.24319298565387726, 0.9056795131845842
"16;16;16", 0.0005, min_max,0.9051724076271057, 0.26020169258117676, 0.9051724137931034
"16;16;16", 0.0005, zero_one,0.9061866402626038, 0.25705552101135254, 0.9061866125760649
"16;16;16", 0.0002, min_max,0.9016227126121521, 0.2558777630329132, 0.9016227180527383
"16;16;16", 0.0002, zero_one,0.9016227126121521, 0.2734573781490326, 0.9016227180527383
"16;16;16", 0.0001, min_max,0.889452338218689, 0.27796006202697754, 0.8894523326572008
"16;16;16", 0.0001, zero_one,0.8717038631439209, 0.3473688066005707, 0.8717038539553753
"16;16;12", 0.001, min_max,0.9006085395812988, 0.2546258568763733, 0.9006085192697769
"16;16;12", 0.001, zero_one,0.9001014232635498, 0.2996583878993988, 0.9001014198782962
"16;16;12", 0.0005, min_max,0.8985801339149475, 0.2535715699195862, 0.8985801217038539
"16;16;12", 0.0005, zero_one,0.9061866402626038, 0.26232701539993286, 0.9061866125760649
"16;16;12", 0.0002, min_max,0.8970588445663452, 0.2694332003593445, 0.8970588235294118
"16;16;12", 0.0002, zero_one,0.8975659012794495, 0.25494900345802307, 0.8975659229208925
"16;16;12", 0.0001, min_max,0.8940162062644958, 0.27231594920158386, 0.8940162271805274
"16;16;12", 0.0001, zero_one,0.8788032531738281, 0.3291205167770386, 0.8788032454361054
"16;16;8", 0.001, min_max,0.8970588445663452, 0.2615172266960144, 0.8970588235294118
"16;16;8", 0.001, zero_one,0.9051724076271057, 0.25698286294937134, 0.9051724137931034
"16;16;8", 0.0005, min_max,0.9016227126121521, 0.2555510103702545, 0.9016227180527383
"16;16;8", 0.0005, zero_one,0.907200813293457, 0.29107004404067993, 0.9072008113590264
"16;16;8", 0.0002, min_max,0.8970588445663452, 0.2682935297489166, 0.8970588235294118
"16;16;8", 0.0002, zero_one,0.8945233225822449, 0.2760416269302368, 0.8945233265720081
"16;16;8", 0.0001, min_max,0.8859026432037354, 0.2927486002445221, 0.8859026369168357
"16;16;8", 0.0001, zero_one,0.8909736275672913, 0.27603819966316223, 0.890973630831643
