1707,17,19,15,0,right,right,"[{""positionX"": 11, ""positionY"": 0}, {""positionX"": 12, ""positionY"": 0}, {""positionX"": 13, ""positionY"": 0}, {""positionX"": 14, ""positionY"": 0}]"
1708,17,19,16,0,right,right,"[{""positionX"": 12, ""positionY"": 0}, {""positionX"": 13, ""positionY"": 0}, {""positionX"": 14, ""positionY"": 0}, {""positionX"": 15, ""positionY"": 0}]"
1709,17,19,17,0,right,right,"[{""positionX"": 13, ""positionY"": 0}, {""positionX"": 14, ""positionY"": 0}, {""positionX"": 15, ""positionY"": 0}, {""positionX"": 16, ""positionY"": 0}]"
1710,17,19,17,1,right,down,"[{""positionX"": 14, ""positionY"": 0}, {""positionX"": 15, ""positionY"": 0}, {""positionX"": 16, ""positionY"": 0}, {""positionX"": 17, ""positionY"": 0}]"
1711,17,19,17,2,down,down,"[{""positionX"": 15, ""positionY"": 0}, {""positionX"": 16, ""positionY"": 0}, {""positionX"": 17, ""positionY"": 0}, {""positionX"": 17, ""positionY"": 1}]"
1712,17,19,17,3,down,down,"[{""positionX"": 16, ""positionY"": 0}, {""positionX"": 17, ""positionY"": 0}, {""positionX"": 17, ""positionY"": 1}, {""positionX"": 17, ""positionY"": 2}]"
1713,17,19,17,4,down,down,"[{""positionX"": 17, ""positionY"": 0}, {""positionX"": 17, ""positionY"": 1}, {""positionX"": 17, ""positionY"": 2}, {""positionX"": 17, ""positionY"": 3}]"
1714,17,19,17,5,down,down,"[{""positionX"": 17, ""positionY"": 1}, {""positionX"": 17, ""positionY"": 2}, {""positionX"": 17, ""positionY"": 3}, {""positionX"": 17, ""positionY"": 4}]"
1715,17,19,17,6,down,down,"[{""positionX"": 17, ""positionY"": 2}, {""positionX"": 17, ""positionY"": 3}, {""positionX"": 17, ""positionY"": 4}, {""positionX"": 17, ""positionY"": 5}]"
1716,17,19,17,7,down,down,"[{""positionX"": 17, ""positionY"": 3}, {""positionX"": 17, ""positionY"": 4}, {""positionX"": 17, ""positionY"": 5}, {""positionX"": 17, ""positionY"": 6}]"
1717,17,19,17,8,down,down,"[{""positionX"": 17, ""positionY"": 4}, {""positionX"": 17, ""positionY"": 5}, {""positionX"": 17, ""positionY"": 6}, {""positionX"": 17, ""positionY"": 7}]"
1718,17,19,17,9,down,down,"[{""positionX"": 17, ""positionY"": 5}, {""positionX"": 17, ""positionY"": 6}, {""positionX"": 17, ""positionY"": 7}, {""positionX"": 17, ""positionY"": 8}]"
1719,17,19,17,10,down,down,"[{""positionX"": 17, ""positionY"": 6}, {""positionX"": 17, ""positionY"": 7}, {""positionX"": 17, ""positionY"": 8}, {""positionX"": 17, ""positionY"": 9}]"
1720,17,19,17,11,down,down,"[{""positionX"": 17, ""positionY"": 7}, {""positionX"": 17, ""positionY"": 8}, {""positionX"": 17, ""positionY"": 9}, {""positionX"": 17, ""positionY"": 10}]"
1721,17,19,17,12,down,down,"[{""positionX"": 17, ""positionY"": 8}, {""positionX"": 17, ""positionY"": 9}, {""positionX"": 17, ""positionY"": 10}, {""positionX"": 17, ""positionY"": 11}]"
1722,17,19,17,13,down,down,"[{""positionX"": 17, ""positionY"": 9}, {""positionX"": 17, ""positionY"": 10}, {""positionX"": 17, ""positionY"": 11}, {""positionX"": 17, ""positionY"": 12}]"
