architecture,lr,normalization,accuracy,loss,classification_accuracy
"12;8;6", 0.0005, min_max,0.6426217555999756, 0.82270348072052, 0.6426217502746246
"12;8;6", 0.0005, zero_one,0.6272427439689636, 0.8658292889595032, 0.6272427682167704
"12;8;6", 0.0002, min_max,0.6367630958557129, 0.8321162462234497, 0.6367630904430611
"12;8;6", 0.0002, zero_one,0.6144269704818726, 0.8615170121192932, 0.6144269498352252
"12;8;6", 0.0001, min_max,0.6232149600982666, 0.8557766079902649, 0.6232149395825705
"12;8;6", 0.0001, zero_one,0.6023434400558472, 0.8823785781860352, 0.6023434639326254
"16;8;6", 0.01, min_max,0.6572684049606323, 0.7953482270240784, 0.6572683998535335
"16;8;6", 0.01, zero_one,0.6605638861656189, 0.7818353772163391, 0.660563896008788
"16;8;6", 0.005, min_max,0.6766752004623413, 0.7549858689308167, 0.6766752105455877
"16;8;6", 0.005, zero_one,0.6569022536277771, 0.8097208738327026, 0.6569022336140607
"16;8;6", 0.002, min_max,0.6796045303344727, 0.7691141963005066, 0.6796045404613694
"16;8;6", 0.002, zero_one,0.6667886972427368, 0.7864843010902405, 0.6667887220798242
"16;8;6", 0.001, min_max,0.6708165407180786, 0.7863848209381104, 0.6708165507140241
"16;8;6", 0.001, zero_one,0.6649578809738159, 0.7894046306610107, 0.6649578908824606
"16;8;6", 0.0005, min_max,0.6656902432441711, 0.801590085029602, 0.665690223361406
"16;8;6", 0.0005, zero_one,0.6331014037132263, 0.8238720893859863, 0.6331014280483339
"16;8;6", 0.0002, min_max,0.6484804153442383, 0.8256282806396484, 0.6484804101061882
"16;8;6", 0.0002, zero_one,0.630172073841095, 0.8405958414077759, 0.6301720981325521
"16;8;6", 0.0001, min_max,0.6202856302261353, 0.8563377857208252, 0.6202856096667887
"16;8;6", 0.0001, zero_one,0.6125960946083069, 0.8774877786636353, 0.6125961186378616
