6,174,-6,0,0,0
6,471,-15,-9,207,-1
9,51,12,-15,312,0
12,138,12,-15,96,0
12,144,-12,-3,57,0
15,93,-15,-9,192,1
15,102,-9,-3,288,1
15,138,21,-6,273,1
15,300,-9,0,399,0
15,405,12,18,321,-1
18,78,18,9,153,0
18,84,18,-9,231,0
18,216,-3,-3,297,0
18,219,15,3,159,0
18,297,15,-9,81,0
18,330,15,-9,249,0
18,480,-9,-3,345,0
21,84,-15,-18,48,1
21,123,15,3,153,0
21,171,-18,-15,264,0
21,303,9,6,345,0
21,327,12,-6,336,0
21,333,9,6,231,0
21,348,18,6,159,-1
21,354,12,-12,201,1
21,414,15,-9,159,-1
21,438,18,-3,192,-1
21,486,9,12,183,0
24,45,12,-3,135,0
24,96,6,6,255,0
24,135,15,-6,177,1
24,189,12,0,72,0
24,309,-6,3,225,0
24,312,9,-9,216,0
24,315,18,6,312,1
24,438,21,6,399,-1
24,447,-12,-6,399,-1
24,474,-15,-12,336,0
27,12,6,-3,279,0
27,12,9,-6,288,0
27,12,12,-12,0,0
27,42,-15,15,129,1
27,204,9,0,0,0
27,213,9,-3,240,0
27,264,18,3,279,1
27,297,-15,-9,249,1
27,336,9,3,129,0
27,342,12,0,399,0
27,357,9,0,399,0
27,381,6,-6,345,0
27,390,12,-6,399,0
27,405,12,0,159,-1
27,417,9,-3,321,0
27,417,15,-6,369,0
27,453,12,3,231,0
27,453,15,0,393,0
27,465,9,3,327,0
27,465,9,3,351,0
30,12,12,-9,336,0
30,33,9,-3,351,1
30,72,9,0,0,0
30,75,18,3,81,1
30,84,6,-6,135,1
30,84,9,3,216,0
30,93,9,3,87,0
30,114,12,0,57,0
30,183,12,0,192,0
30,183,12,12,225,0
30,183,15,0,312,1
30,204,9,3,231,1
30,225,3,-3,297,0
30,240,6,-6,81,0
30,264,9,6,336,0
30,267,6,3,399,-1
30,267,15,9,249,1
30,342,12,6,303,0
30,408,9,-3,336,0
30,417,6,0,399,0
30,429,18,-6,360,0
30,471,6,9,255,0
30,483,15,9,321,-1
33,12,-6,3,177,0
33,12,-3,3,240,0
33,36,21,-12,201,1
33,39,9,-3,399,0
33,42,-9,-3,375,-1
33,84,9,3,39,1
33,90,12,-3,255,0
33,93,12,3,177,0
33,111,-15,-12,111,1
33,162,6,-3,144,0
33,171,-15,6,345,0
33,174,9,9,120,1
33,189,-6,0,33,0
33,210,-6,-3,297,1
33,219,18,-9,129,0
33,279,-18,-3,183,-1
33,279,6,-3,201,1
33,294,6,3,351,0
33,306,-9,3,225,0
33,309,15,-9,264,0
33,321,9,3,216,0
33,342,9,3,288,0
33,348,-12,3,273,0
33,363,12,6,216,0
33,375,-12,-3,312,-1
33,381,-12,-12,303,0
33,387,-6,3,399,0
33,402,-15,-9,399,0
33,408,6,-3,336,0
33,435,-15,0,225,0
33,435,6,0,336,0
