architecture,lr,normalization,accuracy,loss,classification_accuracy
"12;8;6;3", 0.0001, zero_one,0.7519500851631165, 0.6431515216827393, 0.11310452418096724
"16;8;6;3", 0.01, min_max,0.7893915772438049, 0.5535774230957031, 0.09828393135725429
"16;8;6;3", 0.01, zero_one,0.7667706608772278, 0.5659618377685547, 0.11388455538221529
"16;8;6;3", 0.005, min_max,0.7964118719100952, 0.5526242256164551, 0.07410296411856475
"16;8;6;3", 0.005, zero_one,0.7870514988899231, 0.5672502517700195, 0.11856474258970359
"16;8;6;3", 0.002, min_max,0.823712944984436, 0.5099903345108032, 0.0873634945397816
"16;8;6;3", 0.002, zero_one,0.7730109095573425, 0.6085240244865417, 0.10686427457098284
"16;8;6;3", 0.001, min_max,0.7823712825775146, 0.5571129322052002, 0.09594383775351015
"16;8;6;3", 0.001, zero_one,0.798751950263977, 0.5581472516059875, 0.09438377535101404
"16;8;6;3", 0.0005, min_max,0.7815912365913391, 0.5419318675994873, 0.11310452418096724
"16;8;6;3", 0.0005, zero_one,0.8003120422363281, 0.5625706315040588, 0.08502340093603744
"16;8;6;3", 0.0002, min_max,0.7652106285095215, 0.5830474495887756, 0.12012480499219969
"16;8;6;3", 0.0002, zero_one,0.7800312042236328, 0.5876781344413757, 0.11076443057722309
"16;8;6;3", 0.0001, min_max,0.7558502554893494, 0.608201265335083, 0.12558502340093602
"16;8;6;3", 0.0001, zero_one,0.772230863571167, 0.6551544666290283, 0.0686427457098284
