architecture,lr,normalization,accuracy,loss,classification_accuracy
"12;8;3", 0.0002, min_max,0.9360824823379517, 0.20622916519641876, 0.0
"12;8;3", 0.0002, zero_one,0.9494845271110535, 0.17529192566871643, 0.0
"12;8;3", 0.0001, min_max,0.9257732033729553, 0.23726852238178253, 0.0
"12;8;3", 0.0001, zero_one,0.9340206384658813, 0.18860682845115662, 0.0
"16;8;3", 0.01, min_max,0.9020618796348572, 0.30927228927612305, 0.0
"16;8;3", 0.01, zero_one,0.9443299174308777, 0.19151854515075684, 0.0
"16;8;3", 0.005, min_max,0.9402061700820923, 0.19858135282993317, 0.0
"16;8;3", 0.005, zero_one,0.9288659691810608, 0.36324363946914673, 0.0
"16;8;3", 0.002, min_max,0.9432989954948425, 0.18421991169452667, 0.0
"16;8;3", 0.002, zero_one,0.9216494560241699, 0.2628781795501709, 0.0
"16;8;3", 0.001, min_max,0.9474226832389832, 0.17386282980442047, 0.0
"16;8;3", 0.001, zero_one,0.9402061700820923, 0.24742497503757477, 0.0
"16;8;3", 0.0005, min_max,0.9402061700820923, 0.19170580804347992, 0.0
"16;8;3", 0.0005, zero_one,0.9484536051750183, 0.2548618018627167, 0.0
"16;8;3", 0.0002, min_max,0.9412370920181274, 0.19975022971630096, 0.0
"16;8;3", 0.0002, zero_one,0.9350515604019165, 0.1884717047214508, 0.0
"16;8;3", 0.0001, min_max,0.9319587349891663, 0.22898250818252563, 0.0
"16;8;3", 0.0001, zero_one,0.9340206384658813, 0.23791585862636566, 0.0
"10;8;6;3", 0.01, min_max,0.9391752481460571, 0.19730396568775177, 0.0
"10;8;6;3", 0.01, zero_one,0.9412370920181274, 0.24303345382213593, 0.0
"10;8;6;3", 0.005, min_max,0.9474226832389832, 0.16953478753566742, 0.0
"10;8;6;3", 0.005, zero_one,0.9525772929191589, 0.22945034503936768, 0.0
"10;8;6;3", 0.002, min_max,0.946391761302948, 0.18369022011756897, 0.0
"10;8;6;3", 0.002, zero_one,0.9536082744598389, 0.2019243687391281, 0.0
"10;8;6;3", 0.001, min_max,0.9494845271110535, 0.16160671412944794, 0.0
"10;8;6;3", 0.001, zero_one,0.9371134042739868, 0.2229176014661789, 0.0
"10;8;6;3", 0.0005, min_max,0.9257732033729553, 0.22506889700889587, 0.0
"10;8;6;3", 0.0005, zero_one,0.9391752481460571, 0.19154389202594757, 0.0
"10;8;6;3", 0.0002, min_max,0.9515463709831238, 0.17750999331474304, 0.0
"10;8;6;3", 0.0002, zero_one,0.923711359500885, 0.21894210577011108, 0.0
"10;8;6;3", 0.0001, min_max,0.9175257682800293, 0.22277875244617462, 0.0
"10;8;6;3", 0.0001, zero_one,0.9494845271110535, 0.20031580328941345, 0.0
"12;8;6;3", 0.01, min_max,0.938144326210022, 0.18450143933296204, 0.0
"12;8;6;3", 0.01, zero_one,0.9268041253089905, 0.3330051302909851, 0.0
"12;8;6;3", 0.005, min_max,0.954639196395874, 0.1683228760957718, 0.0
"12;8;6;3", 0.005, zero_one,0.9412370920181274, 0.2686194181442261, 0.0
"12;8;6;3", 0.002, min_max,0.9402061700820923, 0.17088793218135834, 0.0
"12;8;6;3", 0.002, zero_one,0.938144326210022, 0.3413546681404114, 0.0
"12;8;6;3", 0.001, min_max,0.9319587349891663, 0.18365202844142914, 0.0
"12;8;6;3", 0.001, zero_one,0.9422680139541626, 0.2581905424594879, 0.0
"12;8;6;3", 0.0005, min_max,0.9371134042739868, 0.18751530349254608, 0.0
"12;8;6;3", 0.0005, zero_one,0.929896891117096, 0.2277732789516449, 0.0
"12;8;6;3", 0.0002, min_max,0.9371134042739868, 0.19236627221107483, 0.0
"12;8;6;3", 0.0002, zero_one,0.9340206384658813, 0.20786258578300476, 0.0
"12;8;6;3", 0.0001, min_max,0.929896891117096, 0.205159991979599, 0.0
"12;8;6;3", 0.0001, zero_one,0.9319587349891663, 0.24049705266952515, 0.0
"16;8;6;3", 0.01, min_max,0.929896891117096, 0.1960810422897339, 0.0
"16;8;6;3", 0.01, zero_one,0.9443299174308777, 0.2671937942504883, 0.0
"16;8;6;3", 0.005, min_max,0.9371134042739868, 0.2039497047662735, 0.0
"16;8;6;3", 0.005, zero_one,0.9402061700820923, 0.26652899384498596, 0.0
"16;8;6;3", 0.002, min_max,0.9412370920181274, 0.19134216010570526, 0.0
"16;8;6;3", 0.002, zero_one,0.9350515604019165, 0.28135910630226135, 0.0
"16;8;6;3", 0.001, min_max,0.9422680139541626, 0.18688276410102844, 0.0
"16;8;6;3", 0.001, zero_one,0.9402061700820923, 0.2184351533651352, 0.0
"16;8;6;3", 0.0005, min_max,0.9443299174308777, 0.17516624927520752, 0.0
"16;8;6;3", 0.0005, zero_one,0.938144326210022, 0.2317153960466385, 0.0
"16;8;6;3", 0.0002, min_max,0.9432989954948425, 0.18453890085220337, 0.0
"16;8;6;3", 0.0002, zero_one,0.9371134042739868, 0.18820607662200928, 0.0
"16;8;6;3", 0.0001, min_max,0.9402061700820923, 0.20282655954360962, 0.0
"16;8;6;3", 0.0001, zero_one,0.9360824823379517, 0.2018652856349945, 0.0
