("(8, 8, 3), 0.01, min_max",0.7714508771896362, 0.5717305541038513, 0.12792511700468018)
("(8, 8, 3), 0.01, zero_one",0.7886115312576294, 0.5681638717651367, 0.11934477379095164)
("(8, 8, 3), 0.005, min_max",0.7925117015838623, 0.5548853874206543, 0.09828393135725429)
("(8, 8, 3), 0.005, zero_one",0.7815912365913391, 0.5803425908088684, 0.09906396255850235)
("(8, 8, 3), 0.002, min_max",0.7940717339515686, 0.5830769538879395, 0.0811232449297972)
("(8, 8, 3), 0.002, zero_one",0.8003120422363281, 0.5527639389038086, 0.08658346333853355)
("(8, 8, 3), 0.001, min_max",0.7652106285095215, 0.5834192633628845, 0.11934477379095164)
("(8, 8, 3), 0.001, zero_one",0.7792511582374573, 0.5728711485862732, 0.11076443057722309)
("(8, 8, 3), 0.0005, min_max",0.7769110798835754, 0.5788860321044922, 0.10530421216848673)
("(8, 8, 3), 0.0005, zero_one",0.7698907852172852, 0.5917575359344482, 0.0904836193447738)
("(8, 8, 3), 0.0002, min_max",0.7566302418708801, 0.6022970080375671, 0.1497659906396256)
("(8, 8, 3), 0.0002, zero_one",0.7574102878570557, 0.600218653678894, 0.10920436817472699)
("(8, 8, 3), 0.0001, min_max",0.7425897121429443, 0.6388642191886902, 0.1497659906396256)
("(8, 8, 3), 0.0001, zero_one",0.7753509879112244, 0.5991401672363281, 0.1060842433697348)
("(12, 8, 3), 0.01, min_max",0.7511700391769409, 0.7337899208068848, 0.12714508580343215)
("(12, 8, 3), 0.01, zero_one",0.7847113609313965, 0.5748603940010071, 0.09906396255850235)
("(12, 8, 3), 0.005, min_max",0.7769110798835754, 0.5676603317260742, 0.11388455538221529)
("(12, 8, 3), 0.005, zero_one",0.8057722449302673, 0.5216715335845947, 0.09750390015600624)
("(12, 8, 3), 0.002, min_max",0.7683307528495789, 0.5809661746025085, 0.09126365054602184)
("(12, 8, 3), 0.002, zero_one",0.772230863571167, 0.587696373462677, 0.08892355694227769)
("(12, 8, 3), 0.001, min_max",0.7956318259239197, 0.5797290802001953, 0.09906396255850235)
("(12, 8, 3), 0.001, zero_one",0.7862714529037476, 0.5842610597610474, 0.10842433697347893)
("(12, 8, 3), 0.0005, min_max",0.7652106285095215, 0.5977914929389954, 0.10764430577223089)
("(12, 8, 3), 0.0005, zero_one",0.7964118719100952, 0.5583551526069641, 0.09516380655226209)
("(12, 8, 3), 0.0002, min_max",0.7628704905509949, 0.6017832159996033, 0.1029641185647426)
("(12, 8, 3), 0.0002, zero_one",0.7800312042236328, 0.5843982100486755, 0.10686427457098284)
("(12, 8, 3), 0.0001, min_max",0.7535101175308228, 0.6404159665107727, 0.13182527301092042)
("(12, 8, 3), 0.0001, zero_one",0.7714508771896362, 0.609822690486908, 0.11232449297971919)
("(16, 8, 3), 0.01, min_max",0.7917316555976868, 0.5511608719825745, 0.0967238689547582)
("(16, 8, 3), 0.01, zero_one",0.7706708312034607, 0.6988572478294373, 0.05538221528861154)
("(16, 8, 3), 0.005, min_max",0.7425897121429443, 0.6826097369194031, 0.07644305772230889)
("(16, 8, 3), 0.005, zero_one",0.8010920286178589, 0.5167069435119629, 0.11154446177847113)
("(16, 8, 3), 0.002, min_max",0.7870514988899231, 0.5432024002075195, 0.09750390015600624)
("(16, 8, 3), 0.002, zero_one",0.7948517799377441, 0.5368930101394653, 0.08502340093603744)
("(16, 8, 3), 0.001, min_max",0.7652106285095215, 0.6438054442405701, 0.07332293291731669)
("(16, 8, 3), 0.001, zero_one",0.810452401638031, 0.5684068202972412, 0.0967238689547582)
("(16, 8, 3), 0.0005, min_max",0.7535101175308228, 0.6375347971916199, 0.07878315132605304)
("(16, 8, 3), 0.0005, zero_one",0.7800312042236328, 0.5721011161804199, 0.11154446177847113)
("(16, 8, 3), 0.0002, min_max",0.7659906148910522, 0.5935912728309631, 0.1060842433697348)
("(16, 8, 3), 0.0002, zero_one",0.7979719042778015, 0.5424195528030396, 0.10062402496099844)
("(16, 8, 3), 0.0001, min_max",0.7613104581832886, 0.6149760484695435, 0.12246489859594384)
("(16, 8, 3), 0.0001, zero_one",0.8018720746040344, 0.5518208742141724, 0.10374414976599064)
("(10, 8, 6, 3), 0.01, min_max",0.7730109095573425, 0.5927372574806213, 0.1310452418096724)
("(10, 8, 6, 3), 0.01, zero_one",0.7800312042236328, 0.5834635496139526, 0.13494539781591264)
("(10, 8, 6, 3), 0.005, min_max",0.8010920286178589, 0.5602062940597534, 0.08034321372854915)
("(10, 8, 6, 3), 0.005, zero_one",0.7808112502098083, 0.629878580570221, 0.11310452418096724)
("(10, 8, 6, 3), 0.002, min_max",0.7511700391769409, 0.7351763248443604, 0.12714508580343215)
("(10, 8, 6, 3), 0.002, zero_one",0.7870514988899231, 0.594582736492157, 0.0873634945397816)
("(10, 8, 6, 3), 0.001, min_max",0.7800312042236328, 0.5610038042068481, 0.11388455538221529)
("(10, 8, 6, 3), 0.001, zero_one",0.7956318259239197, 0.5573782324790955, 0.09750390015600624)
("(10, 8, 6, 3), 0.0005, min_max",0.7535101175308228, 0.6080661416053772, 0.15210608424336974)
("(10, 8, 6, 3), 0.0005, zero_one",0.7511700391769409, 0.7353626489639282, 0.12714508580343215)
("(10, 8, 6, 3), 0.0002, min_max",0.7714508771896362, 0.638502836227417, 0.07956318252730109)
("(10, 8, 6, 3), 0.0002, zero_one",0.7379094958305359, 0.6285068988800049, 0.13182527301092042)
("(10, 8, 6, 3), 0.0001, min_max",0.7542901635169983, 0.6196690201759338, 0.13416536661466458)
("(10, 8, 6, 3), 0.0001, zero_one",0.752730131149292, 0.6036794781684875, 0.13026521060842433)
("(12, 8, 6, 3), 0.01, min_max",0.7745710015296936, 0.5551998615264893, 0.13338533541341654)
("(12, 8, 6, 3), 0.01, zero_one",0.7979719042778015, 0.5730288624763489, 0.11466458658346333)
("(12, 8, 6, 3), 0.005, min_max",0.7925117015838623, 0.5693795084953308, 0.0686427457098284)
("(12, 8, 6, 3), 0.005, zero_one",0.7870514988899231, 0.5595855712890625, 0.09750390015600624)
("(12, 8, 6, 3), 0.002, min_max",0.7956318259239197, 0.5556284785270691, 0.11778471138845553)
("(12, 8, 6, 3), 0.002, zero_one",0.785491406917572, 0.5521595478057861, 0.0873634945397816)
("(12, 8, 6, 3), 0.001, min_max",0.7589703798294067, 0.5830283761024475, 0.13338533541341654)
("(12, 8, 6, 3), 0.001, zero_one",0.7808112502098083, 0.5847809910774231, 0.09282371294851795)
("(12, 8, 6, 3), 0.0005, min_max",0.7480499148368835, 0.605587363243103, 0.12636505460218408)
("(12, 8, 6, 3), 0.0005, zero_one",0.7901716232299805, 0.5865607857704163, 0.10374414976599064)
("(12, 8, 6, 3), 0.0002, min_max",0.7628704905509949, 0.6009118556976318, 0.12714508580343215)
("(12, 8, 6, 3), 0.0002, zero_one",0.7659906148910522, 0.6132627725601196, 0.11544461778471139)
("(12, 8, 6, 3), 0.0001, min_max",0.760530412197113, 0.5841072797775269, 0.12246489859594384)
("(12, 8, 6, 3), 0.0001, zero_one",0.7652106285095215, 0.5865042805671692, 0.11154446177847113)
("(16, 8, 6, 3), 0.01, min_max",0.7925117015838623, 0.5542681813240051, 0.1060842433697348)
("(16, 8, 6, 3), 0.01, zero_one",0.7839313745498657, 0.608094334602356, 0.08814352574102964)
("(16, 8, 6, 3), 0.005, min_max",0.7620905041694641, 0.5939414501190186, 0.10920436817472699)
("(16, 8, 6, 3), 0.005, zero_one",0.7792511582374573, 0.6231448650360107, 0.0904836193447738)
("(16, 8, 6, 3), 0.002, min_max",0.8049921989440918, 0.5393958687782288, 0.093603744149766)
("(16, 8, 6, 3), 0.002, zero_one",0.7761310338973999, 0.5662760138511658, 0.12012480499219969)
("(16, 8, 6, 3), 0.001, min_max",0.7823712825775146, 0.5680152773857117, 0.11856474258970359)
("(16, 8, 6, 3), 0.001, zero_one",0.785491406917572, 0.5616893768310547, 0.08502340093603744)
("(16, 8, 6, 3), 0.0005, min_max",0.7730109095573425, 0.6617475152015686, 0.0655226209048362)
("(16, 8, 6, 3), 0.0005, zero_one",0.7964118719100952, 0.5433641672134399, 0.10530421216848673)
("(16, 8, 6, 3), 0.0002, min_max",0.7691107392311096, 0.5862120389938354, 0.11622464898595944)
